Bills & Fees,Data & WiFi,Education,Emergency fund,Family & Friends,Going out,Groceries,Health,Loan Repayment,Miscellaneous,Rent / Mortgage,Shopping,Transport & Fuel,MERCHANT_NAME,MERCHANT_CATEGORIZED_AS,PURCHASE_VALUE,IS_PURCHASE_PAID_VIA_MPESA_SEND_MONEY,USER_AGE,USER_GENDER,USER_HOUSEHOLD,USER_INCOME,Day_MERCHANT,Month_MERCHANT,Year_MERCHANT,Hour_MERCHANT,Day_PURCHASED,Month_PURCHASED,Year_PURCHASED,Hour_PURCHASED
False,False,False,False,False,False,False,False,False,False,True,False,False,UONSDA CHURCH  MOGERE MWAYO TITHE,Rent / Mortgage,1700,False,25.0,Male,3,10000,4.0,5.0,2022.0,10.0,4,May,2022,13
False,False,False,False,False,False,False,False,False,False,True,False,False,MARK NYABAYO,Bills & Fees,20,False,25.0,Male,1,10000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,22,March,2021,12
False,False,False,False,False,False,False,False,False,False,False,False,False,UONSDA CHURCH  MOGERE MWAYO TITHE,Rent / Mortgage,1700,False,25.0,Male,3,10000,4.0,5.0,2022.0,10.0,4,May,2022,13
False,False,False,False,False,False,False,False,False,False,False,False,False,MARK NYABAYO,Bills & Fees,20,False,25.0,Male,1,10000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,22,March,2021,12
False,False,False,False,False,False,False,False,False,False,False,False,True,PARK N GO,Transport & Fuel,100,False,25.0,Female,4,90000,25.0,10.0,2021.0,16.0,24,October,2021,14
False,False,False,False,False,False,False,False,False,False,False,False,True,ACCESS AFYA,Bills & Fees,1,False,25.0,Male,1,10000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,5,July,2021,11
False,False,False,False,False,False,False,False,False,False,False,False,False,PARK N GO,Transport & Fuel,100,False,25.0,Female,4,90000,25.0,10.0,2021.0,16.0,24,October,2021,14
False,False,False,False,False,False,False,False,False,False,False,False,False,ACCESS AFYA,Bills & Fees,1,False,25.0,Male,1,10000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,5,July,2021,11
False,True,False,False,False,False,False,False,False,False,False,False,False,SAFARICOM OFFERS  TUNUKIWA,Data & WiFi,20,False,25.0,Male,3,10000,20.0,5.0,2022.0,14.0,27,May,2022,12
False,True,False,False,False,False,False,False,False,False,False,False,False,POA,Bills & Fees,1500,False,25.0,Male,1,10000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,21,June,2021,19
False,False,False,False,False,False,False,False,False,False,False,False,False,SAFARICOM OFFERS  TUNUKIWA,Data & WiFi,20,False,25.0,Male,3,10000,20.0,5.0,2022.0,14.0,27,May,2022,12
False,False,False,False,False,False,False,False,False,False,False,False,False,POA,Bills & Fees,1500,False,25.0,Male,1,10000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,21,June,2021,19
False,False,False,False,False,False,False,False,True,False,False,False,False,ZILLIONS CREDIT LIMITED,Loan Repayment,3800,False,25.0,Male,5,252000,12.0,4.0,2022.0,15.0,7,February,2022,12
False,False,False,False,False,False,False,False,True,False,False,False,False,POA,Bills & Fees,1500,False,25.0,Male,1,10000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,22,April,2021,18
False,False,False,False,False,False,False,False,False,False,False,False,False,ZILLIONS CREDIT LIMITED,Loan Repayment,3800,False,25.0,Male,5,252000,12.0,4.0,2022.0,15.0,7,February,2022,12
False,False,False,False,False,False,False,False,False,False,False,False,False,POA,Bills & Fees,1500,False,25.0,Male,1,10000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,22,April,2021,18
True,False,False,False,False,False,False,False,False,False,False,False,False,MICHAEL MUSEMBI,Bills & Fees,60,False,25.0,Male,3,10000,4.0,5.0,2022.0,10.0,4,May,2022,15
True,False,False,False,False,False,False,False,False,False,False,False,False,ACCESS AFYA,Bills & Fees,1,False,25.0,Male,1,10000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,29,July,2021,13
False,False,False,False,False,False,False,False,False,False,False,False,False,MICHAEL MUSEMBI,Bills & Fees,60,False,25.0,Male,3,10000,4.0,5.0,2022.0,10.0,4,May,2022,15
False,False,False,False,False,False,False,False,False,False,False,False,False,ACCESS AFYA,Bills & Fees,1,False,25.0,Male,1,10000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,29,July,2021,13
False,False,False,False,False,False,False,False,False,True,False,False,False,JOSEPH NTHENGE,Miscellaneous,14800,True,27.0,Female,2,8000,7.0,1.0,2022.0,9.0,8,January,2022,12
False,False,False,False,False,False,False,False,False,True,False,False,False,POA,Bills & Fees,1500,False,25.0,Male,1,10000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,22,January,2021,15
False,False,False,False,False,False,False,False,False,False,False,False,False,JOSEPH NTHENGE,Miscellaneous,14800,True,27.0,Female,2,8000,7.0,1.0,2022.0,9.0,8,January,2022,12
False,False,False,False,False,False,False,False,False,False,False,False,False,POA,Bills & Fees,1500,False,25.0,Male,1,10000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,22,January,2021,15
False,False,False,False,False,False,True,False,False,False,False,False,False,NAIVAS KITENGELA,Groceries,657,False,25.0,Female,4,90000,5.0,10.0,2021.0,12.0,6,October,2021,17
False,False,False,False,False,False,True,False,False,False,False,False,False,ACCESS AFYA,Bills & Fees,1,False,25.0,Male,1,10000,13.026809651474531,5.0,2021.71581769437,12.292225201072386,29,July,2021,13
False,False,False,False,False,False,False,False,False,False,False,False,False,NAIVAS KITENGELA,Groceries,657,False,25.0,Female,4,90000,5.0,10.0,2021.0,12.0,6,October,2021,17
